,gene_symbol,entrez_id
1254,ATG3,64422
1255,TSG101,7251
1256,LIPH,200879
1257,ATG101,60673
1258,FCER1G,2207
1259,PRKG1,5592
1260,FHL2,2274
1261,NCF2,4688
1262,RXRG,6258
1263,F2,2147
1264,ITGB7,3695
1265,ITGAE,3682
1266,CD58,965
1267,CD48,962
1268,FADD,8772
1269,DEFB1,1672
1270,CKS1B,1163
1271,KITLG,4254
1272,SPP1,6696
1273,ITGA4,3676
1274,CAMK1,8536
1275,TNFRSF14,8764
1276,TLR2,7097
1277,ITGA3,3675
1278,LAMC2,3918
1279,LAMA3,3909
1280,PRKCE,5581
1281,TRADD,8717
1282,TNFSF13B,10673
1283,TNFRSF11A,8792
1284,TNFAIP3,7128
